pertanyaan,jawaban,konteks,kategori
"leres atanapi henteu salah sahiji kadaharan has Sukabumi nu dijieun tina parud sampeu, sapaliwat siga kicimpring, wangunna buleud leutik, ipis jeung garing sabab dipoe heula teh namina peuyeum",henteu,Peuyeum nyaeta salah sahiji kadaharan khas daerah bandung anu dijieun tina fermentasi sampeu atawa ketan,kadaharan
leres atanapi henteu salah sahiji kadaharan khas cirebon teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas purwakarta nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas cianjur teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas garut teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas tasikmalaya teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina sampeu teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina ketan teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan nu eusina sayur make bumbu kacang teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan nu nuju viral jaman kiwari teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu sampeu nu asalna diparud dikalapaan tuluy di gulaan naminateh colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas Sumedang anu dijieunna tina olahan kacang kedele teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas Ciamis anu dijieunna tina kalapa teh nyaeta colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi heteu kadaharan anu biasa dijadikeun batur dahar, boh dahar sangu atawa dahareun beurat sejenna namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan sabangsa lepeut anu dijieun tina beas beunang ngagigihan, biasana make jeroan mangrupa daging ragot nyaeta colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan anu mun didahar nyakrek naminateh colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun na tina tipung beas, terus dijero na aya cau an jeung rasa na amis namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan nu matak seger aya gagangan naminateh colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan khas bandung anu dijieun make proses fermentasi teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina beleum peyeum teh namina colenak,leres,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina lalab atah teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan tipung ketan anu warnana katempo nyurup jeung baluran parud kalapa tur ngabogaan eusi gula bereum teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan tipung ketan anu dibalur make siki wijen tur ngabogaan eusi kacang hejo teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan  mangrupa gorengan olahan tipung tarigu anu dicampurkeun jeung sayur sabangsa toge, kol jeung wortel teh namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan mangrupa gorengan olahan tahu anu dieusian ku sayur sabangsa toge jeung nu sejenna tuluy  dibalur adonan tipung tarigu teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan mangrupa gorengan olahan tempe anu dikereutan ipis-ipis tuluy dibalur ku adonan aci teh namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu jajanan khas bandung anu dijieun tina adonan aci ngabentuk bal laleutik tuluy digoreng dina lisah panas namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan aci sampeu anu dibumbuan ku bawang bodas lemes tuluy digoreng saenggeus kalis namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan olahan aci anu ilaharna sok dieusian ku gajih tuluy dikulub, didahar ku cara dicolok namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan lumpia anu dieusian ku aci baseuh tur lamun digoreng bakal ngambay namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan khas daerah garut anu rasana amis tur gurih, lamun dicolok ku awi katingali ngaburayot namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu wanguna kawas kongkolak kembang saroja namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan cau jeung coklat anu dibungkus ku lumpia namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan  mangrupa gorengan anu bahan utamana lauk tanggiri nu dicampur jeung aci atawa tipung sagu namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun tina tipung béas, kalapa nu geus diparud, jeung cipati nu diasakan dina citakan tur miboga rasa amis jeung asin namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan olahan kawas sambel anu dijieun tina leunca, oncom, cabe jeung daun surawung anu disamaraan namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan olahan aci anu dijieun ku cara digulung make awi namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu inuman olahan tipung hunkwe anu dijieun ku cara digéréntél-géréntél, didaharna maké peueut dicipatian namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu inuman olahan tipung beas atawa tipung ketan anu didaharna make es parud, cai gula bereum jeung cipati namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan  mangrupa gorengan olahan aci anu bahan utamana kurupuk kulub namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun tina adonan tipung béas ketan, aci, jeung kalapa anu dicitak buleud siga bola, tur digoreng dina lisah panas namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan sabangsa roti anu wanguna aya anu lonyod aya ogé rada masagi kawas bantal dijieun tina adonan tarigu jeung gula namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu bahan poko nyieunna tina daging nu saterusna disamaraan ogé dikulub mangjam-jam namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu wanguna ngagéblég kalawan geunyal, dijieun tina hasil olahan jukut laut namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan khas urang sunda anu dijieunna tina tipung béas, tipung kétan, gula beureum, kalapa parud jeung bentukna krucut namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina tipung béas dicampur tipung sagu jeung cipati tuluy dicitak dina cangkir cangklekan namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina sarupaning bungbuahan jeung sayuran anu diasinkeun namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan nu dijieunna tina daun sampeu atawa daun gedang jeung biasana sok disayur namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan nu dijieunna tina tipung tarigu jeung bentukna buleud leutik siga sorabi rasana amis namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu bentukna siga kembang keur mekar  namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan nu eusina bubuahan ngora nu diisrud jeung aya kuahan namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu salah sahiji jajanan khas ti bandung anu miboga bahan dasar aci, digoreng dicampurkeun jeung endog namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan sarupaning combro anu wangunna ipis jeung garing namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun tina parud sampeu atanapi tipung beas, wangunna siga kembang nu ligar, warna-warni jeung ngarangkadak beukah namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan mangrupa lontong, daun sampeu, toge jeung kurupuk anu dibanjur ku angeun oncom gembos anu ditutuan jeung parud dawegan namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu salah sahiji kadaharan has Bogor anu dijieun tina campuran pesor, tahu, endog, bumbu kacang jeung kurupuk atanapi emping tangkil namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun tina tipung beas dicampur gula beureum, ngasakanna ku cara diseupan tuluy dipurulukan kalapa parud namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina olahan beuti sampeu namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina seupan sampeu anu dilembutkeun nepi ka dalit namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina hampas tahu anu dibulen ku tipung tuluy digoreng namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan has Cianjur anu mangrupa singgetan tina toge jeung tauco namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan khas cikalong dijieunna tina kalapa tuluy dibungkus ku daun kalapa garing namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu wangunna buleud panjang aya bagean kulitna nu garing jeung aya eusian namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu salah sahiji kadaharan has Kabupaten Kuningan  namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu dijieun tina parudan sampeu dicampur gula beureum anu diwangun paranjang, dibungkus daun cau namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina kentang anu diwangun siga korek api digoreng make bumbu balado namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina adonan sampeu anu digepengkeun tuluy dipoe namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina ketan dieusian ku campuran parudan kalapa atanapi kacang hejo jeung gula bereum namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
leres atanapi henteu kadaharan anu dijieun tina beas ketan jeung gula bereum namina colenak,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu salah sahiji kadaharan has Cirebon anu miboga bahan dasar aci hui, diolah ku cara disangray namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
"leres atanapi henteu kadaharan anu miboga wangun pasagi panjang ciga balok, rasana rupa-rupa ngaluyukeun jeung kamajuan jaman namina colenak",henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna,kadaharan
